FamilyID,MonthsInFII,TotalIncome,Mean,STD
209,38,1572.0,3644.0,1750.0
296,39,1400.0,3000.0,1304.0
375,38,12749.059999999999,7907.2200000000003,2356.0
484,50,6661.54,3460.0,608.0
488,50,1525.0,4660.0,1555.0
510,49,1254.0,2754.0,764.0
604,34,1600.0,16500.0,5551.0
607,34,2120.0,5200.0,1317.0
631,35,2700.0,1700.0,729.0
772,32,16788.400000000001,10273.200000000001,4661.0
801,32,1060.0,2055.0,529.0
812,32,5600.0,2800.0,823.0
891,31,1845.25,1296.0,447.0
979,27,5789.0,6250.0,361.0
1021,27,5320.0,3520.0,807.0
1053,25,2450.0,1000.0,405.0
1054,25,2560.0,1340.0,1054.0
1077,23,2950.0,909.0,516.0
1121,24,2100.0,2466.0,161.0
1073,23,4750.0,2100.0,1647.0
1078,23,1375.0,2050.0,269.0
1094,23,4150.0,1550.0,1118.0
1137,22,5097.0,3700.0,896.0
1135,22,3596.0,2696.0,830.0
1168,21,2400.0,4400.0,937.0
1182,21,6677.1199999999999,2183.02,1576.0
1193,19,2302.8400000000001,232.84,1753.0
1195,19,1450.0,4500.0,1767.0
1197,19,6200.0,3448.0,1094.0
1198,19,1000.0,2272.0,615.0
1200,19,1040.0,1727.0,463.0
1203,19,3600.0,1800.0,608.0
1205,19,1045.0,618.0,391.0
1214,19,1168.0,1058.0,76.0
1221,18,3526.0,6960.0,1108.0
1227,18,7788.0,2596.0,1992.0
1234,16,1556.0,2290.0,560.0
1237,16,4434.0,2102.0,699.0
1259,14,4291.0,2104.0,557.0
1260,15,357.0,1757.0,484.0
1269,15,899.0,478.0,196.0
1288,15,3560.0,3750.0,110.0
1298,14,6000.0,8500.0,1678.0
1304,14,3400.0,3200.0,114.0
1305,14,600.0,400.0,76.0
1318,14,772.0,1149.0,110.0
1319,14,4500.0,2500.0,608.0
1325,13,9188.0,6125.0,2985.0
1327,13,5986.1899999999996,4475.2399999999998,1365.0
1332,13,12300.0,6363.0,3827.0
1335,13,11188.0,2089.0,2600.0
1348,13,3615.4000000000001,3615.0,0.0
1368,13,5292.0,3279.0,1072.0
1443,10,1649.0,3298.0,660.0
1454,10,3362.0,5022.0,813.0
1466,10,4250.0,5950.0,1240.0
1469,10,1600.0,1700.0,63.0
1468,10,2800.0,1300.0,450.0
1481,8,240.0,1591.0,974.0
1478,8,4551.5,3282.0,628.0
1490,8,2760.0,2446.75,141.0
1509,6,1976.0,1348.0,307.0
1523,6,996.0,680.0,158.0
1525,6,5141.0,5525.0,151.0
1531,6,1000.0,25000.0,8944.0
1541,6,2400.0,2065.8800000000001,125.0
1547,6,4200.0,10200.0,2135.0
1550,6,3600.0,9900.0,2989.0
1553,6,1000.0,2000.0,373.0
1554,6,4340.0,2840.0,693.0
1578,6,9025.0,8420.0,225.0
1586,5,2111.0,1956.0,62.0
1589,5,4101.7399999999998,2401.7399999999998,641.0
1597,5,1600.0,1900.0,130.0
1599,5,2320.0,1873.3,179.0
1603,4,5300.0,3000.0,1084.0
1604,4,4278.0,2790.0,633.0
1605,4,2600.0,4500.0,1101.0
1609,5,374.0,3220.0,1138.0
1632,4,4200.0,3200.0,805.0
1639,4,330.0,1200.0,460.0
1645,4,1500.0,3300.0,779.0
1649,4,650.0,475.0,76.0
1654,4,2010.0,1920.0,39.0
1655,4,4876.8800000000001,3588.4000000000001,594.0
1658,4,480.0,1440.0,480.0
1659,4,2595.48,4142.3900000000003,1499.0
1663,4,2400.0,1200.0,520.0
1668,4,1200.0,2000.0,287.0
1675,4,400.0,1100.0,303.0
1678,4,2000.0,1800.0,122.0
1513,3,1229.0,3152.0,4814.0
1536,5,1000.0,3152.0,4814.0
1557,5,921.0,3152.0,4814.0
1644,4,755.0,3152.0,4814.0
1689,3,800.0,3152.0,4814.0
1690,3,833.0,3152.0,4814.0
1691,3,979.0,3152.0,4814.0
1692,3,960.0,3152.0,4814.0
1693,3,1123.0,3152.0,4814.0
1694,2,2800.0,3152.0,4814.0
1695,2,1199.0,3152.0,4814.0
1696,3,1100.0,3152.0,4814.0
1697,2,593.0,3152.0,4814.0
1698,2,720.0,3152.0,4814.0
1699,3,1120.0,3152.0,4814.0
1700,3,1404.0,3152.0,4814.0
1701,3,1683.4000000000001,3152.0,4814.0
1702,3,4340.0,3152.0,4814.0
1703,2,2796.0,3152.0,4814.0
1704,3,4857.6000000000004,3152.0,4814.0
1705,2,1600.0,3152.0,4814.0
1706,3,1216.0,3152.0,4814.0
1707,3,4397.5299999999997,3152.0,4814.0
1708,3,1000.0,3152.0,4814.0
1710,3,3000.0,3152.0,4814.0
1711,3,nan,3152.0,4814.0
1712,3,1009.0,3152.0,4814.0
1713,3,1306.0,3152.0,4814.0
1714,3,nan,3152.0,4814.0
1717,3,6676.0,3152.0,4814.0
1715,3,781.0,3152.0,4814.0
1716,3,3000.0,3152.0,4814.0
1718,3,1875.0,3152.0,4814.0
1719,3,2300.0,3152.0,4814.0
1727,2,1200.0,3152.0,4814.0
1720,3,nan,3152.0,4814.0
